code_station,libelle_support,date_prelevement,code_parametre,libelle_parametre,resultat,symbole_unite,mnemo_remarque,limite_quantification,libelle_qualification
03012800,Eau,2007-04-11,1907,AMPA,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03012800,Eau,2007-05-14,1907,AMPA,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03012800,Eau,2007-05-14,1506,Glyphosate,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03012800,Eau,2007-07-12,1506,Glyphosate,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03012800,Eau,2007-07-12,1907,AMPA,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03012800,Eau,2007-09-13,1907,AMPA,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03012800,Eau,2007-09-13,1506,Glyphosate,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03012800,Eau,2007-11-08,1907,AMPA,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03012800,Eau,2007-11-08,1506,Glyphosate,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03012973,Eau,2011-04-28,1506,Glyphosate,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03012973,Eau,2011-04-28,1907,AMPA,0.18,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.1,Correcte
03012973,Eau,2011-06-09,1506,Glyphosate,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03012973,Eau,2011-06-09,1907,AMPA,0.28,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.1,Correcte
03012973,Eau,2011-08-02,1506,Glyphosate,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03012973,Eau,2011-08-02,1907,AMPA,0.18,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.1,Correcte
03012973,Eau,2011-11-29,1907,AMPA,0.1,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.1,Correcte
03012973,Eau,2011-11-29,1506,Glyphosate,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03013125,Eau,2016-02-01,1907,AMPA,0.33,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03013125,Eau,2016-02-01,1506,Glyphosate,0.25,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03013125,Eau,2016-04-05,1506,Glyphosate,0.15,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03013125,Eau,2016-04-05,1907,AMPA,0.13,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03013125,Eau,2016-06-27,1506,Glyphosate,0.19,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03013125,Eau,2016-06-27,1907,AMPA,0.19,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03013155,Eau,2012-03-29,1506,Glyphosate,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03013155,Eau,2012-03-29,1907,AMPA,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
